req_id,user_id,campaign_id,creative_id,ip,ua,ts
click_3951,user_3951,2,1,192.168.1.142,Mozilla/5.0,2025-09-03 03:28:03.026832
click_3952,user_3952,3,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:28:02.026836
click_3953,user_3953,1,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:28:01.026852
click_3954,user_3954,2,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:28:00.026855
click_3955,user_3955,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:59.026857
click_3956,user_3956,1,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:58.026859
click_3957,user_3957,3,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:57.026861
click_3958,user_3958,2,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:56.026863
click_3959,user_3959,1,2,192.168.1.150,Mozilla/5.0,2025-09-03 03:27:55.026865
click_3960,user_3960,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:54.026867
click_3961,user_3961,3,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:53.026869
click_3962,user_3962,1,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:52.026871
click_3963,user_3963,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:51.026874
click_3964,user_3964,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:50.026876
click_3965,user_3965,2,1,192.168.1.156,Mozilla/5.0,2025-09-03 03:27:49.026878
