req_id,user_id,campaign_id,creative_id,ip,ua,ts
click_3901,user_3901,2,1,192.168.1.92,Mozilla/5.0,2025-09-03 03:27:02.693298
click_3902,user_3902,3,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:01.693301
click_3903,user_3903,1,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:27:00.693304
click_3904,user_3904,2,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:59.693306
click_3905,user_3905,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:58.693308
click_3906,user_3906,1,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:57.693310
click_3907,user_3907,3,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:56.693312
click_3908,user_3908,2,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:55.693315
click_3909,user_3909,1,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:54.693317
click_3910,user_3910,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:53.693319
click_3911,user_3911,3,2,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:52.693321
click_3912,user_3912,1,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:51.693323
click_3913,user_3913,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:50.693325
click_3914,user_3914,3,1,192.168.1.100,Mozilla/5.0,2025-09-03 03:26:49.693328
click_3915,user_3915,2,1,192.168.1.106,Mozilla/5.0,2025-09-03 03:26:48.693329
